"description"	"X100"	"X200"	"X300"	"X400"	"X500"	"X600"	"X700"	"X800"	"X900"	"X1000"	"X1100"	"X1200"	"X1300"	"X1400"	"X1500"	"X1600"	"X1700"	"X1800"	"X1900"	"X2000"
"36"	"Defective B3GAT3 causes JDSSDHD"	1	1	1	0.181134767631889	0.0624759079726503	0.0805994430302866	0.135905709921752	0.176324159501727	0.00151268801806666	0.0034193541382986	0.00668639752810197	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0736583332821901	0.0649125430924655	0.0161971505383502
"37"	"Defective B4GALT7 causes EDS, progeroid type"	1	1	1	0.181134767631889	0.0624759079726503	0.0805994430302866	0.135905709921752	0.176324159501727	0.00151268801806666	0.0034193541382986	0.00668639752810197	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0736583332821901	0.0649125430924655	0.0161971505383502
"38"	"Diseases associated with glycosaminoglycan metabolism"	1	1	1	1	0.12610497431814	0.0521300926027778	0.0960454154086523	0.142337432563214	0.00151268801806666	0.0034193541382986	0.00668639752810197	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0781592621543591	0.0702543375644502	0.0161971505383502
"39"	"Diseases of glycosylation"	1	1	1	1	1	0.10422839566103	0.121743214491429	0.176324159501727	0.0228563971566421	0.049630572536289	0.104401293968526	0.142176107363964	0.207415735744383	0.147331748410643	0.178209258790731	1	1	1	1	0.207415735744383
"40"	"Diseases of metabolism"	1	1	1	1	1	1	1	1	1	0.0850735125158326	0.137201276547597	0.167237577189237	0.110973378620859	0.137731479934392	0.160769099621465	1	1	1	0.0900856423966969	0.110973378620859
"41"	"DNA Damage Bypass"	1	1	1	1	1	1	0.195444739371752	1	1	1	1	1	1	1	1	1	1	1	1	1
"42"	"Dopamine Neurotransmitter Release Cycle"	1	1	1	1	1	1	1	1	1	1	1	0.208328579652298	1	1	0.136673582062821	0.188134441868139	0.0830810149560119	0.108627921503054	0.0900856423966969	1
"43"	"Downregulation of ERBB2 signaling"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0688378838949038	1
"44"	"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196618613438277	1
"45"	"Downregulation of TGF-beta receptor signaling"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.159094937554463	1
"46"	"ECM proteoglycans"	0.000618712679474559	0.000148714833732741	0.0000693635978120431	0.000229800985854672	0.001650145188764	0.0000403094231645154	0.0000595148352342481	0.000206823250830755	0.0000379258090993732	0.0000521205577200684	0.000188595018745573	0.000273634345988089	0.000684916928840013	0.000264753947662526	0.000677351230508799	0.0000686900858338552	0.0000651980305495164	0.0000317495003701352	0.0000778283616153499	0.000684916928840013
"47"	"Elastic fibre formation"	1	1	1	1	1	0.0845940680468913	0.14612261201801	0.184253973132499	1	0.0850735125158326	0.137201276547597	0.074737323305846	0.110973378620859	0.071909731418954	0.0923601425303988	0.0493504839825954	0.0691653447686896	0.0321465743145885	0.0247886111933974	0.110973378620859
"48"	"ER Quality Control Compartment (ERQC)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178240866452036	1
"49"	"Fatty Acyl-CoA Biosynthesis"	1	1	1	1	1	1	1	0.176324159501727	1	1	1	1	1	0.146008891709201	0.106568964640459	0.152326711466258	0.0873957054105279	0.130099539221315	0.120195865486169	1
"50"	"Formation of Fibrin Clot (Clotting Cascade)"	0.0359235613973314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"51"	"G1 Phase"	1	1	1	1	1	1	1	1	0.0778395247783143	0.0404891679865114	0.0727089820683874	0.0851071511951968	0.118475914296687	0.150595571628975	0.178209258790731	1	1	1	0.0244892126985365	0.118475914296687
"52"	"GABA receptor activation"	1	1	1	1	1	1	1	0.178056634522655	1	1	1	1	1	1	1	1	1	1	1	1
"53"	"GABA synthesis, release, reuptake and degradation"	1	1	1	1	1	1	1	1	1	1	1	0.0415212622995095	0.0580526120705889	0.0773133268841532	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0736583332821901	0.0244892126985365	0.0580526120705889
"54"	"Glucose metabolism"	1	1	1	1	1	0.0573926647624729	0.067506029199848	0.136856953470457	0.129470481218748	0.0530649302566503	0.111548998081666	0.0376926422169776	0.0616850904112735	0.0552630585936863	0.0330807112340981	0.0227751289941391	0.0352163519871733	0.0546659585196641	0.00811170643798679	0.0616850904112735
"55"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	1	1	1	1	1	1	0.137858914285114	0.176324159501727	0.0971008737321642	0.132417087458923	0.0727089820683874	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0781592621543591	0.033245459877636	0.0161971505383502
"56"	"Glutamate Neurotransmitter Release Cycle"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.176339820558755	1	1	1	0.216729380603891	1
"57"	"Glycogen synthesis"	1	1	1	1	0.148847961266199	0.00780128870582579	0.0193726157750188	0.0285848315772586	0.0230510570967231	0.00651124195517818	0.0116868387960694	0.0152130745809321	0.0226119877601778	0.0301678175194536	0.0330807112340981	0.0462720888461013	0.0596172663313432	0.0781592621543591	0.00735393498452985	0.0226119877601778
"58"	"Glycolysis"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.180952788261152	0.134253907185581	0.159076264562616	1	0.0802963704301342	1
"59"	"GPVI-mediated activation cascade"	0.191714663316012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"60"	"Heparan sulfate/heparin (HS-GAG) metabolism"	0.191431648447433	1	1	1	1	1	1	1	0.0176746544197103	0.0336837603488688	0.0678520696631213	0.0376926422169776	0.0580526120705889	0.0831555363051503	0.111978367769246	0.0734418785304683	0.0992764909936282	0.0781592621543591	0.0789266670085929	0.0580526120705889
"61"	"HSF1-dependent transactivation"	0.0824485797895866	0.0888259314467897	0.0399988774888198	0.0915173868648183	0.12610497431814	0.163270653684078	0.0960454154086523	0.142337432563214	0.131480277201642	0.180648274862367	1	1	1	1	1	1	1	1	0.138590786789391	1
"62"	"Insulin processing"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.207471757862886	1	0.178240866452036	1
"63"	"Integrin cell surface interactions"	0.109491323498258	0.000940163045259174	0.0019723498406437	0.000171758516099346	0.000237301987684509	0.0000403094231645154	0.000269138361502729	0.000206823250830755	0.000213730037616554	0.000254053708958065	0.00109940665630876	0.000273634345988089	0.000684916928840013	0.000479370525845722	0.00124142164939226	0.000911811113248086	0.00230089406008334	0.00616383433832025	0.00848977576331977	0.000684916928840013
"64"	"Interaction between L1 and Ankyrins"	0.107173005633783	1	1	1	1	1	1	1	1	1	1	1	0.0580526120705889	0.0773133268841532	0.0330807112340981	0.0482698423543517	0.0662006411274169	0.0898123826430006	0.0802963704301342	0.0580526120705889
"65"	"Interactions of neurexins and neuroligins at synapses"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.126647392283074	0.184249944644852	0.0900856423966969	1
"66"	"Interferon gamma signaling"	1	1	1	1	1	1	1	1	1	1	1	1	1	0.179614680810672	0.0993274964810882	0.152326711466258	0.197699085780572	1	0.21132245462267	1
"67"	"Ion homeostasis"	1	1	1	1	1	1	1	1	1	1	1	1	0.138730112710508	0.179614680810672	0.205288289237992	1	1	1	0.138590786789391	0.138730112710508
"68"	"Ion transport by P-type ATPases"	1	1	1	1	1	1	0.140304542790929	0.184253973132499	1	1	1	1	0.150598462898508	0.188546228185705	0.136673582062821	0.104997527102989	0.138202240924173	0.204732765975447	0.138590786789391	0.150598462898508
"69"	"IRAK1 recruits IKK complex"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"70"	"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"71"	"Iron uptake and transport"	1	1	1	0.0962325659782441	0.148847961266199	1	0.138387040964426	0.179846719495998	1	1	1	1	1	1	1	0.207532978220416	1	1	0.138590786789391	1
"72"	"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196618613438277	1
"73"	"Laminin interactions"	1	0.160962999362492	1	1	1	0.0961959974338425	0.146707961726835	0.184253973132499	0.113098956138745	0.154462893026825	1	1	1	1	1	1	1	1	1	1
"74"	"LDL-mediated lipid transport"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.216729380603891	1
"75"	"MET activates PTK2 signaling"	0.0257278550574196	0.0240616308372248	0.0946732043422196	0.160891927733818	0.070607928656969	0.0391573381281165	0.0730849079594644	0.136856953470457	0.113098956138745	0.154462893026825	1	1	1	0.179614680810672	0.200257016090133	1	1	1	0.157556300012117	1
"76"	"MET promotes cell motility"	0.0445079090249587	0.0619959051842722	1	1	0.148847961266199	0.0805994430302866	0.138387040964426	0.179846719495998	1	1	1	1	1	1	1	1	1	1	0.225219227677053	1
"77"	"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane"	1	1	1	1	1	1	1	1	0.180971998517965	1	1	1	1	1	1	1	1	1	1	1
"78"	"Molecules associated with elastic fibres"	1	1	1	1	1	0.156910304522388	1	1	1	0.105869122907344	0.157682200205892	0.080801275363332	0.118126689386977	0.071909731418954	0.0923601425303988	0.0482698423543517	0.0662006411274169	0.0265367548818361	0.0244892126985365	0.118126689386977
"79"	"NCAM1 interactions"	0.139798076794224	0.00832731403223353	0.0399988774888198	0.0915173868648183	0.148847961266199	0.218503191292708	1	1	1	0.154462893026825	1	0.142176107363964	0.196589464444011	0.113657068043368	0.136673582062821	0.198829729859258	1	0.179670845905874	0.138590786789391	0.196589464444011
"80"	"Negative regulation of FGFR1 signaling"	1	1	1	1	1	0.0961959974338425	0.146707961726835	0.184253973132499	1	1	1	1	1	1	1	1	1	1	0.0900856423966969	1
"81"	"Negative regulation of FGFR2 signaling"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178083252796435	1
"82"	"Negative regulation of FGFR3 signaling"	1	1	1	1	0.156645636209698	0.0757975095768714	0.135905709921752	0.176324159501727	0.200833730847886	1	1	1	1	1	1	1	1	1	0.0649125430924655	1
"83"	"Negative regulation of FGFR4 signaling"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"84"	"Negative regulation of MAPK pathway"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0997925497180558	1
"85"	"Negative regulation of MET activity"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.157049758054019	1
"86"	"Netrin-1 signaling"	0.139798076794224	1	1	0.0915173868648183	0.148847961266199	0.208400971436633	1	0.176324159501727	1	1	1	1	1	0.20239227975408	1	1	0.213831443125441	1	0.130755272365355	1
"87"	"Neurotransmitter Release Cycle"	0.171952739036052	1	1	1	1	1	1	1	0.180971998517965	0.132417087458923	0.200915309612698	0.0212490813141376	0.0387275282653663	0.0552630585936863	0.0312480375228539	0.0440451112327159	0.0414945543829255	0.0572887744686447	0.0244892126985365	0.0387275282653663
"88"	"Non-integrin membrane-ECM interactions"	0.0210647802363385	0.000148714833732741	0.000371221383343572	0.0000670593456565535	0.0000640381320513682	0.000000158391432175761	0.00000157020317463226	0.00000622016492843807	0.00000584283935014656	0.0000358597653028941	0.000160310082236352	0.000273634345988089	0.000684916928840013	0.000264753947662526	0.000677351230508799	0.0000767751566573549	0.0000548640776651483	0.0000327366236069379	0.0000778283616153499	0.000684916928840013
"89"	"Norepinephrine Neurotransmitter Release Cycle"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178209258790731	1	1	1	0.216729380603891	1
"90"	"NOTCH1 Intracellular Domain Regulates Transcription"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.072479863951306	1
"91"	"NOTCH2 Activation and Transmission of Signal to the Nucleus"	1	1	1	1	0.0783665677184115	0.0967059540277053	0.146707961726835	0.179846719495998	1	1	0.157682200205892	0.179165444729129	1	1	1	1	1	1	0.033245459877636	1
"92"	"NRIF signals cell death from the nucleus"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0688378838949038	1
"93"	"Nuclear signaling by ERBB4"	0.0824485797895866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"94"	"O-linked glycosylation of mucins"	1	0.160962999362492	1	1	0.156645636209698	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"95"	"Oncogene Induced Senescence"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0802963704301342	1
"96"	"Opioid Signalling"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.203878989548547	1
"97"	"Ovarian tumor domain proteases"	1	1	1	1	1	1	1	0.158400887118665	0.16094680264562	0.0966924657210991	0.151553629428511	0.074737323305846	0.110973378620859	0.135964188041734	0.160169554797805	0.207532978220416	1	1	0.0789266670085929	0.110973378620859
"98"	"Phase 0 - rapid depolarisation"	1	1	1	1	1	1	1	1	1	1	1	1	0.118475914296687	0.150595571628975	0.178209258790731	1	1	1	1	0.118475914296687
"99"	"PI3K Cascade"	1	1	1	1	1	1	0.195444739371752	1	1	1	1	1	1	1	1	1	1	1	0.228222742219414	1
"100"	"PKB-mediated events"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205288289237992	1	1	1	0.181343250165729	1
"101"	"Platelet Adhesion to exposed collagen"	0.0511562777429714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"102"	"Platelet Aggregation (Plug Formation)"	0.130633970122444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"103"	"Post NMDA receptor activation events"	1	1	1	1	1	1	1	1	1	1	1	0.178234142930793	1	0.135964188041734	0.160169554797805	0.207532978220416	1	1	0.220880599768056	1
"104"	"Protein-protein interactions at synapses"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178209258790731	1	0.0662006411274169	0.0975042069194641	0.0649125430924655	1
"105"	"Purine metabolism"	1	1	1	1	1	0.103049399855596	0.157243198267882	0.194438433757532	1	1	1	1	1	1	1	1	1	1	1	1
"106"	"Pyruvate metabolism"	1	1	1	1	1	1	1	1	0.180971998517965	1	1	0.167237577189237	0.211984556938162	1	1	1	1	1	1	0.211984556938162
"107"	"Ras activation uopn Ca2+ infux through NMDA receptor"	1	1	1	1	1	1	1	1	1	1	1	0.0415212622995095	0.0580526120705889	0.0773133268841532	0.0948452530133154	0.117238037090592	0.137745968766327	0.179979055015033	0.135860006442076	0.0580526120705889
"108"	"Recognition of DNA damage by PCNA-containing replication complex"	1	1	1	1	1	1	0.135905709921752	0.176324159501727	1	1	1	1	1	1	1	1	1	1	0.21492943277385	1
"109"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	1	1	1	1	1	1	1	0.176324159501727	0.113098956138745	0.178725069089742	1	1	1	1	0.111978367769246	0.163709819264579	0.197699085780572	1	0.192545054861926	1
"110"	"Regulation of innate immune responses to cytosolic DNA"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"111"	"Regulation of insulin secretion"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.156558856015843	1
"112"	"Regulation of TP53 Degradation"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.117370075998402	1
"113"	"Regulation of TP53 Expression and Degradation"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.130884689194161	1
"114"	"Retinoid metabolism and transport"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.211553705630583	1
"115"	"RHO GTPases Activate ROCKs"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196618613438277	1
"116"	"SALM protein interactions at the synapses"	1	1	1	1	1	1	1	1	1	1	1	0.179165444729129	1	1	1	1	1	1	1	1
"117"	"Scavenging by Class A Receptors"	0.0132638205165391	0.0619959051842722	0.0019723498406437	0.00929453599364355	0.0254298668920163	0.00541915540877783	0.0134004239456315	0.0211370098232205	0.0196919998274388	0.0336837603488688	0.0595005609432381	0.0625320861017761	0.0906334466304352	0.105899839316923	0.126985471814828	0.0493593196349051	0.0691653447686896	0.0898123826430006	0.0802963704301342	0.0906334466304352
"118"	"Sema4D induced cell migration and growth-cone collapse"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.216729380603891	1
"119"	"Serotonin Neurotransmitter Release Cycle"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.160769099621465	0.207532978220416	1	1	0.196618613438277	1
"120"	"Sialic acid metabolism"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.200257016090133	1	1	1	1	1
"121"	"Signaling by EGFR in Cancer"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"122"	"Signaling by ERBB2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"123"	"Signaling by ERBB4"	0.139798076794224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"124"	"Signaling by FGFR1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"125"	"Signaling by FGFR3"	1	1	1	1	1	0.184136186034006	1	1	1	1	1	1	1	1	1	1	1	1	0.0997925497180558	1
"126"	"Signaling by FGFR4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.181343250165729	1
"127"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"128"	"Signaling by MET"	0.105167898894569	0.0208677321587293	0.117597569490827	0.0915173868648183	0.0350342205771916	0.0275428077075685	0.067506029199848	0.136856953470457	0.133677699662419	1	0.200915309612698	1	1	0.162073514544883	0.200257016090133	1	1	1	0.130755272365355	1
"129"	"Signaling by NOTCH1"	1	1	1	1	1	1	1	0.194438433757532	1	1	0.137201276547597	0.176898073560117	1	1	1	1	1	1	0.0487139492970536	1
"130"	"Signaling by NOTCH1 HD Domain Mutants in Cancer"	1	1	1	1	0.148847961266199	0.208400971436633	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"131"	"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"132"	"Signaling by NOTCH1 in Cancer"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"133"	"Signaling by NOTCH1 PEST Domain Mutants in Cancer"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
